m		X	Y	Phi		X	Y	Phi	move	ang	R	xC	yC
	S	6.8	2.0	180.0	F	6.199999999999999	2.0	180.0	0.6000000000000001	0.0	-1.0	0.0	0.0
	S	6.8	2.0	180.0	F	6.1	2.0	180.0	0.7000000000000001	0.0	-1.0	0.0	0.0
	S	6.8	2.0	180.0	F	6.0	2.0	180.0	0.8	0.0	-1.0	0.0	0.0
	S	6.8	2.0	180.0	F	5.8999999999999995	2.0	180.0	0.9	0.0	-1.0	0.0	0.0
	S	6.8	2.0	180.0	F	5.8	2.0	180.0	1.0	0.0	-1.0	0.0	0.0
	S	6.8	2.0	180.0	F	5.699999999999999	2.0	180.0	1.1	0.0	-1.0	0.0	0.0
	S	6.8	2.0	180.0	F	5.6	2.0	180.0	1.2000000000000002	0.0	-1.0	0.0	0.0
	S	6.8	2.0	180.0	F	5.5	2.0	180.0	1.3	0.0	-1.0	0.0	0.0
	S	6.8	2.0	180.0	F	5.3999999999999995	2.0	180.0	1.4000000000000001	0.0	-1.0	0.0	0.0
	S	6.8	2.0	180.0	F	5.3	2.0	180.0	1.5	0.0	-1.0	0.0	0.0
	S	6.8	2.0	180.0	F	5.199999999999999	2.0	180.0	1.6	0.0	-1.0	0.0	0.0
